空天姬预设,5.1285.1285.20250924
噬卵者,平钓【灰蚯蚓】》！！=【噬卵者】；引诱；//预设分级：批量生成
镜鱼,平钓【天空勺形鱼饵】》！！=【镜鱼】；引诱；//预设分级：批量生成
陨星尾,平钓【天空勺形鱼饵】》！=【陨星尾】；引诱；//预设分级：批量生成
阿俄伊德,平钓【天空勺形鱼饵】》！！=【阿俄伊德】；引诱；//预设分级：批量生成
原型肉身,平钓【天空勺形鱼饵】》！=【原型肉身】；引诱；//预设分级：批量生成
洄游星,平钓【天空勺形鱼饵】》！！=【洄游星】；引诱；//预设分级：批量生成
虫洞蠕虫,平钓【震撼板钩】》！=【虫洞蠕虫】；引诱；//预设分级：批量生成
不明飞行物II,平钓【震撼板钩】》！=【不明飞行物II】；引诱；//预设分级：批量生成
三叉神海兽,平钓【震撼板钩】》！！=【三叉神海兽】；引诱；//预设分级：批量生成
贤者癸辛,平钓【震撼板钩】》！=【贤者癸辛】；引诱；//预设分级：批量生成
二十四足文明人,平钓【震撼板钩】》！！=【二十四足文明人】；引诱；//预设分级：批量生成
恐惊威,平钓【震撼板钩】》！！=【恐惊威】；引诱；//预设分级：批量生成
梅德龙星人,平钓【震撼板钩】》！！=【梅德龙星人】；引诱；//预设分级：批量生成
胡萝卜怪兽,平钓【星尘】》！！=【胡萝卜怪兽】；引诱；//预设分级：批量生成
阿耳戈航员,平钓【震撼板钩】》！=【阿耳戈航员】；引诱；//预设分级：批量生成
碧鱼莲,平钓【震撼板钩】》！！=【碧鱼莲】；引诱；//预设分级：批量生成
宇宙象,平钓【震撼板钩】》！！=【宇宙象】；引诱；//预设分级：批量生成
阿勒刻托,平钓【星尘】》！！=【阿勒刻托】；引诱；//预设分级：批量生成
事件穹界的回归者,平钓【震撼板钩】》！！=【事件穹界的回归者】；引诱；//预设分级：批量生成
额外维度实体-9318,平钓【星尘】》！！=【额外维度实体-9318】；引诱；//预设分级：批量生成
未受生魂,大鱼【星尘】》！！【事件穹界的回归者】》！！=【未受生魂】；引诱、不撒饵；//预设分级：批量生成
萨维奈卡拉墨鱼,平钓【青花鱼块】》！！=【萨维奈卡拉墨鱼】；引诱；//预设分级：批量生成
种子蛙,平钓【金属亮片】》！=【种子蛙】；引诱；//预设分级：批量生成
圣洁绒球,平钓【金属亮片】》！！=【圣洁绒球】；引诱；//预设分级：批量生成
灰白珊瑚,平钓【金属亮片】》！=【灰白珊瑚】；引诱；//预设分级：批量生成
摩耶灵龟,大鱼【蜉蝣】@0302-0600》！【小桓娑鱼】》！！=【摩耶灵龟】；引诱、不撒饵；//预设分级：批量生成
鳍人海带,平钓【金属亮片】》！=【鳍人海带】；引诱；//预设分级：批量生成
尊紫鳕,平钓【金属亮片】》！=【尊紫鳕】；引诱；//预设分级：批量生成
虹花贝,平钓【金属亮片】》！=【虹花贝】；引诱；//预设分级：批量生成
叶草鱼,平钓【蜉蝣】@0502-0800》！=【叶草鱼】；引诱；//预设分级：批量生成
战女神之圣盾,平钓【医蛭】@1602-1900》！！@拍水【鲴鱼】=【战女神之圣盾】；引诱；//预设分级：合格的
小骨鱼,平钓【金属亮片】》！=【小骨鱼】；引诱；//预设分级：批量生成
小猫鲱鱼,平钓【金属亮片】》！=【小猫鲱鱼】；引诱；//预设分级：批量生成
黄尾鱼,平钓【金属亮片】》！！=【黄尾鱼】；引诱；//预设分级：批量生成
金箔龙虾,平钓【灰蚯蚓】@1902-2200》！！=【金箔龙虾】；引诱；//预设分级：批量生成
金币鱼,平钓【卓越丸子】》！=【金币鱼】；引诱；//预设分级：批量生成
食蚊鱼,#NAME?等待补充//预设分级：批量生成
佩鲁蛙,#NAME?等待补充//预设分级：批量生成
暗银脂鲤,#NAME?等待补充//预设分级：批量生成
理王鱼,#NAME?等待补充//预设分级：批量生成
酒鬼鱼,#NAME?等待补充//预设分级：批量生成
幽魂鱼,#NAME?等待补充//预设分级：批量生成
镰鳍鲳鲹,#NAME?等待补充//预设分级：批量生成
竖笛鱼,#NAME?等待补充//预设分级：批量生成
蓝色钱包,#NAME?等待补充//预设分级：批量生成
金矛鱼,#NAME?等待补充//预设分级：批量生成
海羊驼,#NAME?等待补充//预设分级：批量生成
大理石手斧,#NAME?等待补充//预设分级：批量生成
抓星虾,#NAME?等待补充//预设分级：批量生成
奥阔鳟,#NAME?等待补充//预设分级：批量生成
凿石刀,#NAME?等待补充//预设分级：批量生成
其瓦固鳅,#NAME?等待补充//预设分级：批量生成
欧来欧来欧来,#NAME?等待补充//预设分级：批量生成
乌帕鲁,#NAME?等待补充//预设分级：批量生成
流星银尾,#NAME?等待补充//预设分级：批量生成
第一口,#NAME?等待补充//预设分级：批量生成
奥阔水蛙,#NAME?等待补充//预设分级：批量生成
泽托托,#NAME?等待补充//预设分级：批量生成
半饱鳟,#NAME?等待补充//预设分级：批量生成
深奥的证人,#NAME?等待补充//预设分级：批量生成
克扎玛乌跳鱼,#NAME?等待补充//预设分级：批量生成
水没睡鱼,#NAME?等待补充//预设分级：批量生成
剧毒染色蛙,#NAME?等待补充//预设分级：批量生成
花褶玛塔蛇颈龟,#NAME?等待补充//预设分级：批量生成
巨蛋大蛇,#NAME?等待补充//预设分级：批量生成
大盘蟹,#NAME?等待补充//预设分级：批量生成
牙签鱼,#NAME?等待补充//预设分级：批量生成
利齿脂鲤,#NAME?等待补充//预设分级：批量生成
浮木鲶鱼,#NAME?等待补充//预设分级：批量生成
火风鱼,#NAME?等待补充//预设分级：批量生成
青铜琵琶鱼,#NAME?等待补充//预设分级：批量生成
矛丽鱼,#NAME?等待补充//预设分级：批量生成
火焰丽鱼,#NAME?等待补充//预设分级：批量生成
佩鲁灾星,#NAME?等待补充//预设分级：批量生成
巨型利齿脂鲤,#NAME?等待补充//预设分级：批量生成
大舌头苦鱼,#NAME?等待补充//预设分级：批量生成
断舌处刑人,#NAME?等待补充//预设分级：批量生成
玉米鲦鱼,#NAME?等待补充//预设分级：批量生成
浮虹鱼,#NAME?等待补充//预设分级：批量生成
虹彩虹鳉,#NAME?等待补充//预设分级：批量生成
团子鱼,#NAME?等待补充//预设分级：批量生成
条纹牙签鱼,#NAME?等待补充//预设分级：批量生成
尖陶乐鲶,#NAME?等待补充//预设分级：批量生成
圆点刺魟,#NAME?等待补充//预设分级：批量生成
黄单丽鱼,#NAME?等待补充//预设分级：批量生成
闪烁鱼影,#NAME?等待补充//预设分级：批量生成
乌托姆黎明,#NAME?等待补充//预设分级：批量生成
魣鳉,#NAME?等待补充//预设分级：批量生成
钓神基富丽鱼,#NAME?等待补充//预设分级：批量生成
红豹帆鳍鱼,#NAME?等待补充//预设分级：批量生成
隐白,#NAME?等待补充//预设分级：批量生成
蚓螈,#NAME?等待补充//预设分级：批量生成
镜鲤,#NAME?等待补充//预设分级：批量生成
天坑太阳,#NAME?等待补充//预设分级：批量生成
赤血的枯叶,#NAME?等待补充//预设分级：批量生成
天使之母,#NAME?等待补充//预设分级：批量生成
亚克特尔蝾螈,#NAME?等待补充//预设分级：批量生成
黑骨舌鱼,#NAME?等待补充//预设分级：批量生成
云空鱼,#NAME?等待补充//预设分级：批量生成
白烬龙虾,#NAME?等待补充//预设分级：批量生成
金曦钝口螈,#NAME?等待补充//预设分级：批量生成
泥土鱼,#NAME?等待补充//预设分级：批量生成
图拉尔毒蜥蜴,#NAME?等待补充//预设分级：批量生成
亚克特尔鲶鱼,#NAME?等待补充//预设分级：批量生成
脚尖鲶,#NAME?等待补充//预设分级：批量生成
格子丽鱼,#NAME?等待补充//预设分级：批量生成
战地雀鳝,#NAME?等待补充//预设分级：批量生成
金红剑尾鱼,#NAME?等待补充//预设分级：批量生成
星粒鱼,#NAME?等待补充//预设分级：批量生成
完美的碟子,#NAME?等待补充//预设分级：批量生成
幻煌鱼,#NAME?等待补充//预设分级：批量生成
细枝鲶,#NAME?等待补充//预设分级：批量生成
盲鼬鱼,#NAME?等待补充//预设分级：批量生成
亚克特尔鳄,#NAME?等待补充//预设分级：批量生成
乌托姆提卡,#NAME?等待补充//预设分级：批量生成
鲨鱼鼻虾虎,#NAME?等待补充//预设分级：批量生成
亚克特尔蟹,#NAME?等待补充//预设分级：批量生成
冥境睡鱼,#NAME?等待补充//预设分级：批量生成
网纹鲨,耐心【幽灵钳】@1802-2000》~8+12！@拍水【乌托姆提卡】》~9.5+15！+！！》19~！！=收藏品、套娃、不撒饵、重随；//预设分级：合格的
骨尾查布鱼,#NAME?等待补充//预设分级：批量生成
尼葵瑞皮鳟,#NAME?等待补充//预设分级：批量生成
帕利尤南丽鱼,#NAME?等待补充//预设分级：批量生成
夏劳尼鲑鱼,#NAME?等待补充//预设分级：批量生成
旅迹鳟,#NAME?等待补充//预设分级：批量生成
特利平鲶,平钓【嘭嘭拟饵】》15~27！！=引诱；//¤{storage:MissFisherGetTranslationByIndex( 预设备注特利平鲶 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
图拉尔鲟,#NAME?等待补充//预设分级：批量生成
佐戈之核,#NAME?等待补充//预设分级：批量生成
云中缎带,#NAME?等待补充//预设分级：批量生成
佐戈蝎,#NAME?等待补充//预设分级：批量生成
瀑布徨灵,#NAME?等待补充//预设分级：批量生成
飞天鱿鱼,#NAME?等待补充//预设分级：批量生成
风暴鲨,#NAME?等待补充//预设分级：批量生成
遗产鳅,#NAME?等待补充//预设分级：批量生成
边郊鼻鱼,#NAME?等待补充//预设分级：批量生成
瓜仁太阳鱼,#NAME?等待补充//预设分级：批量生成
虎纹大狗鱼,#NAME?等待补充//预设分级：批量生成
黑莓鲈,#NAME?等待补充//预设分级：批量生成
漂流鳟,#NAME?等待补充//预设分级：批量生成
雷斗鱼,#NAME?等待补充//预设分级：批量生成
红腹雷锤,#NAME?等待补充//预设分级：批量生成
亚斯拉尼弓鳍鱼,#NAME?等待补充//预设分级：批量生成
雷鲽鱼,#NAME?等待补充//预设分级：批量生成
黄金石斑鱼,#NAME?等待补充//预设分级：批量生成
永护螯虾,#NAME?等待补充//预设分级：批量生成
棘背鱼,#NAME?等待补充//预设分级：批量生成
清洁方案,#NAME?等待补充//预设分级：批量生成
锦砖鳅,#NAME?等待补充//预设分级：批量生成
玫瑰蛙,#NAME?等待补充//预设分级：批量生成
骑士虾虎,#NAME?等待补充//预设分级：批量生成
风途鳗鱼,#NAME?等待补充//预设分级：批量生成
滑稽鲶鱼,#NAME?等待补充//预设分级：批量生成
蛇头鳢,#NAME?等待补充//预设分级：批量生成
粗纹松鲷,#NAME?等待补充//预设分级：批量生成
新骨舌鱼,#NAME?等待补充//预设分级：批量生成
运河鲷鱼,#NAME?等待补充//预设分级：批量生成
虹色隆头鱼,#NAME?等待补充//预设分级：批量生成
运河鼓,#NAME?等待补充//预设分级：批量生成
蝴蝶鳐,#NAME?等待补充//预设分级：批量生成
水鲯鲭,#NAME?等待补充//¤{storage:MissFish……//预设分级：批量生成
钟情蚌,#NAME?等待补充//预设分级：批量生成
被遗忘的鱼,#NAME?等待补充//预设分级：批量生成
红铜鲨,#NAME?等待补充//预设分级：批量生成
金色昨日,#NAME?等待补充//预设分级：批量生成
星河镜银鲫,#NAME?等待补充//预设分级：批量生成
绯红女王,#NAME?等待补充//预设分级：批量生成
亚历山德里亚鲤鱼,#NAME?等待补充//预设分级：批量生成
宇宙探索,//预设分级：非预设
月面,//预设分级：非预设
stell451,平钓》全部//预设分级：有效的
stell452,大鱼》全部=不撒饵、收藏品、不收集；//预设分级：有效的
stell453,平钓》！！@拍水【？45701】@专一【45701】=引诱、不撒饵；//预设分级：有效的
stell454,大鱼》！！@拍水【？45704】=引诱、不撒饵、收藏品、不收集；//预设分级：有效的
stell455,平钓》全部@拍水【任何】=不撒饵；//预设分级：有效的
stell456,大鱼》！！@拍水【？45710】=引诱、不撒饵、收藏品、不收集；//预设分级：有效的
stell457,大鱼》16~！！@拍水【45712】=引诱、不撒饵、收藏品、不收集；//预设分级：有效的
stell458,平钓》！@拍水全部【？45717】=1【45717】；引诱、不撒饵；=》阶段@平钓》！！@拍水【？45718】=引诱、不撒饵；《//预设分级：有效的
stell459,耐心》！@拍水！！【占位】=引诱、不撒饵、收藏品、不收集；//预设分级：有效的
stell460,平钓》！@拍水【任何】=2【任何】；引诱、不撒饵；=》阶段@平钓》！！@拍水【任何】=引诱、不撒饵；《//预设分级：有效的
stell461,耐心》全部=收藏品、不收集；//预设分级：有效的
stell462,大鱼》！@拍水【？45734】=引诱、不撒饵、收藏品；//预设分级：有效的
stell463,平钓【45949】》！=1【45735】；引诱、不撒饵；=》阶段@平钓【45950】》！@拍水【45735】=1【45738】；引诱、不撒饵；=》阶段@平钓》！！=1【45736】；引诱、不撒饵；=》阶段@平钓【45949】》！！@拍水【45736】=引诱、不撒饵；《《《//预设分级：有效的
stell464,平钓》15~！@拍水~15！【？45743】@专一【45743】双提=引诱、不撒饵；//预设分级：有效的
stell465,耐心》16~！！+！！！华丽@拍水全部【占位】=收藏品、不收集；//预设分级：有效的
stell466,平钓【45954】》全部强力@拍水【？45749】=1【45753】；1【45752】；引诱、不撒饵；=》阶段@平钓【45955】》全部强力=1【45750】；引诱、不撒饵；=》阶段@平钓》！@拍水【任何】=引诱、不撒饵；《《//预设分级：有效的
stell467,大鱼》18~！！！@拍水~18！！【？45758】=引诱、收藏品、不收集、不撒饵；//预设分级：有效的
stell468,大鱼》！！@拍水【？45763】@专一【45763】华丽=引诱、不撒饵、收藏品；=》拍水后@大鱼》！！华丽=引诱、不撒饵、收藏品；//预设分级：有效的
stell469,平钓【45952】》！@拍水全部【45764、45765】=1【45764】；1【45765】；引诱、不撒饵；=》阶段@平钓【45953】》！@拍水全部【45764】=1【45766】；引诱、不撒饵；=》阶段@平钓》！！@拍水【45766】=引诱、不撒饵；《《//预设分级：有效的
stell470,平钓》！！！三提@拍水全部【占位】@专一【45772】三提=引诱、不撒饵、多提；//预设分级：有效的
stell471,耐心》！！@拍水全部【占位】=引诱、不撒饵、收藏品、不收集；//预设分级：有效的
stell472,平钓》！！！三提@拍水！！【？45782】@专一【45782】=引诱、不撒饵；=》鱼识@平钓》！！！@拍水【45782】=引诱、不撒饵；//预设分级：有效的
stell473,大鱼》16.5~！！@拍水~16.5！！【45785】@专一【45788】=引诱、不撒饵、收藏品；//预设分级：有效的
stell474,平钓》14~！三提@拍水全部【占位】=多提；//预设分级：有效的
stell475,大鱼》19.5~！！华丽@拍水！！【45796】=引诱、收藏品、不收集、不撒饵；//预设分级：无错误
stell476,大鱼》22~！华丽@拍水！【45799】=不撒饵、鱼影、收藏品；//预设分级：有效的
stell477,大鱼》全部=2【任何】；收藏品、不收集、不撒饵；=》阶段@平钓》！！@拍水【45827】=不撒饵；=》拍水后@大鱼》30~！！=知识、不撒饵、鱼影、收藏品、不收集；《//预设分级：有效的
stell478,耐心》全部//预设分级：需改进
stell479,现在还没有该任务的预设//预设分级：需改进
stell480,平钓》！！！三提@拍水全部【占位】=18【任何】；多提；=》阶段@平钓》全部《//预设分级：有效的
stell481,平钓》15+29~！！！@拍水！！【？45870】=引诱；//预设分级：有效的
stell482,现在还没有该任务的预设//预设分级：需改进
stell483,平钓【45962】》！！@拍水17~！【任何】=1【45808】；引诱、不撒饵；=》阶段@平钓【45964】》！！！@拍水14.5~！【45804、45805、45806】=1【45809】；引诱、不撒饵；=》阶段@平钓》7.5+13.5~9+17！@拍水~17+25！【45804、45805】=1【45806】；=》阶段@平钓【45962】》10+19.5~！@拍水！【45804、45805】=1【45807】；不撒饵；=》阶段@平钓》~9.5+17！@拍水【任何】《《《《//预设分级：最优化
stell483-1,平钓【45962】》！！@拍水！【45807】=1【45808】；引诱、不撒饵；=》阶段@平钓【45964】》！！！@拍水14.5~！【45804、45805、45806】=1【45809】；引诱、不撒饵；=》阶段@平钓》7.5+13.5~9+17！@拍水~17+25！【45804、45805】=1【45806】；=》阶段@平钓【45962】》10+19.5~！@拍水！【45804、45805】=1【45807】；不撒饵；=》阶段@平钓》~9.5+17！@拍水【任何】《《《《//预设分级：最优化
stell484,耐心》！@拍水【？45844】》11.5~！！》！！+！！！=引诱、不撒饵、套娃；//预设分级：有效的
stell485,大鱼》！！！@拍水！！【45811】=引诱、收藏品、不收集、不撒饵；//预设分级：有效的
stell486,平钓【45959】》！！@拍水【45848】=1【45848】；1【45850】；引诱、不撒饵；=》阶段@平钓【45960】》！《//预设分级：无错误
stell487,耐心》（！！）21~！华丽@拍水~21！【占位】@专一【45882】华丽=不撒饵、收藏品、不收集；//预设分级：无错误
stell488,平钓》！！+！！！@拍水16~！【？45856】=1【？45856】；不撒饵、引诱；=》阶段@大鱼》！！！华丽@拍水！！【？45856】@专一【45856】华丽=4【45856】；收藏品、不收集、不撒饵、引诱；=》阶段@大鱼》16~！+！！！华丽@拍水21~！！【占位】@专一【45858、45856】华丽=收藏品、不收集、不撒饵、引诱；《《//预设分级：有效的
stell489,现在还没有该任务的预设//预设分级：需改进
stell490,大鱼》！！！@拍水~15！！【45817】=收藏品、不收集、不撒饵、引诱；//预设分级：无错误
stell491,现在还没有该任务的预设//预设分级：需改进
stell492,现在还没有该任务的预设//预设分级：需改进
stell493,平钓》14~！！！三提@拍水全部【占位】=18【任何】；多提；=》阶段@平钓》全部《//预设分级：需改进
stell494,现在还没有该任务的预设//预设分级：需改进
stell495,现在还没有该任务的预设//预设分级：需改进
stell508,平钓》8+13~！！！三提=7【45917】；回收、多提；//预设分级：有效的
stell509,平钓》~14.5！！@拍水【？45922】=3【45922】；引诱、不撒饵；//预设分级：有效的
stell509-1,平钓》~14.5！！@拍水【？45922】=2【45922】；引诱、不撒饵；//该钓法只能银牌提交，原因是银牌效率高//预设分级：有效的
stell510,平钓》10+20~！！三提=7【45928】；回收、多提；//金牌流程：关闭submit模块→启动ktj钓到7条→再启动ktj钓到7条共14条→使用恩宠&强心剂（如果可用）→制作2次→再启动ktj钓到7条→制作1次//预设分级：无错误
stell511,现在还没有该任务的预设//预设分级：需改进
stell542,平钓》！！@拍水【？45937】//预设分级：有效的
stell543,平钓》！！//预设分级：有效的
stell544,平钓》！！//预设分级：有效的
法恩娜星球,//预设分级：非预设
stell965,平钓》全部三提//预设分级：有效的
stell966,大鱼》全部=收藏品；//预设分级：有效的
stell967,大鱼》15.5~！！双提@拍水！！【？47430】@专一【47430】=引诱；//预设分级：有效的
stell968,大鱼》！！@专一【47433】=收藏品、引诱；//预设分级：有效的
stell969,平钓》全部@拍水【任何】//预设分级：有效的
stell970,大鱼》全部=收藏品；//预设分级：有效的
stell971,大鱼》！！=收藏品、引诱；//预设分级：有效的
stell972,平钓》！@拍【？11号作品】=1【11号作品】；引诱；=》阶段@平钓》！！@拍【任何】=引诱；《//预设分级：有效的
stell973,大鱼》16~！三提@专一【退火鲤】=3【退火鲤】；收藏品、引诱、不撒饵；=》阶段@平钓》全部@专一【退火鲤】=引诱；《//预设分级：有效的
stell974,平钓》！@拍【任何】=2【任何】；引诱；=》阶段@平钓》！！@拍【任何】=引诱；《//预设分级：有效的
stell975,大鱼》17~！！三提@专一【任何】双提=3【退火鳐】；收藏品、不撒饵、引诱；=》阶段@大鱼》！！=收藏品、引诱；《//预设分级：有效的
stell976,大鱼》11.5~！华丽@拍水【？47462】@专一【47462】华丽=收藏品；//预设分级：有效的
stell977,平钓【47684】》~11！=1【47464】；引诱、不撒饵；=》阶段@平钓》！！@拍【47464】=1【47465】；=》阶段@平钓【47685】》（！！）11~！强力@拍【47465】=引诱、不撒饵；《《//预设分级：有效的
stell978,现在还没有该任务的预设//预设分级：需改进
stell979,现在还没有该任务的预设//预设分级：需改进
stell980,现在还没有该任务的预设//预设分级：需改进
stell981,现在还没有该任务的预设//预设分级：需改进
stell982,现在还没有该任务的预设//预设分级：需改进
stell983,现在还没有该任务的预设//预设分级：需改进
stell984,现在还没有该任务的预设//预设分级：需改进
stell985,现在还没有该任务的预设//预设分级：需改进
stell986,现在还没有该任务的预设//预设分级：需改进
stell987,现在还没有该任务的预设//预设分级：需改进
stell988,现在还没有该任务的预设//预设分级：需改进
stell989,现在还没有该任务的预设//预设分级：需改进
stell990,现在还没有该任务的预设//预设分级：需改进
stell991,现在还没有该任务的预设//预设分级：需改进
stell992,现在还没有该任务的预设//预设分级：需改进
stell993,现在还没有该任务的预设//预设分级：需改进
stell994,大鱼》21~！！三提@专一【硝石玫瑰】=引诱、不撒饵、收藏品；//预设分级：无错误
stell995,现在还没有该任务的预设//预设分级：需改进
stell996,现在还没有该任务的预设//预设分级：需改进
stell997,现在还没有该任务的预设//预设分级：需改进
stell998,现在还没有该任务的预设//预设分级：需改进
stell999,现在还没有该任务的预设//预设分级：需改进
stell1000,现在还没有该任务的预设//预设分级：需改进
stell1001,现在还没有该任务的预设//预设分级：需改进
stell1002,现在还没有该任务的预设//预设分级：需改进
stell1003,现在还没有该任务的预设//预设分级：需改进
stell1004,现在还没有该任务的预设//预设分级：需改进
stell1005,现在还没有该任务的预设//预设分级：需改进
stell1006,现在还没有该任务的预设//预设分级：需改进
stell1037,平钓》！！三提=多提；//预设分级：有效的
stell1038,平钓》！！三提=多提；//预设分级：有效的
stell1039,平钓》！！三提=多提；//预设分级：有效的
空岛模式,//预设分级：非预设
dia1,平钓【云冠浮游虫】》11~！三提=不撒饵、回收；//¤{storage:MissFisherGetTranslationByIndex( 预设备注三提七条所需获得力3450 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
dia2,平钓【云冠大蚊】》（！！！）15~！三提=不撒饵、回收；//¤{storage:MissFisherGetTranslationByIndex( 预设备注三提七条所需获得力3450 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
dia3,空天姬预设 第四期重建用的特供雕塑家//预设分级：重定向
dia4,平钓【云冠气球虫】》！！！@拍水~14！！【第四期重建用的不死鱼】=不撒饵、引诱；=》拍水后@平钓》！！！=引诱；//预设分级：有效的
dia5,平钓【云冠红气球虫】》！！！精准@拍水~10.5！【第四期重建用的清澈冰战神】=不撒饵、引诱；=》拍水后@平钓》！！！精准=引诱；//预设分级：有效的
dia6,平钓【云冠大蚊】》！！！精准@拍水~10.5！【第四期重建用的清澈冰战神】=不撒饵、引诱；=》拍水后@平钓》！！！精准=引诱；//预设分级：有效的
dia7,平钓【云冠红气球虫】》！！！@拍水~14！！【第四期重建用的不死鱼】=不撒饵、引诱；=》拍水后@平钓》！！！=引诱；//预设分级：有效的
重定向,//预设分级：非预设
蛋,空天姬预设 惊喜蛋//预设分级：重定向
蝶,空天姬预设 镜中蝶//预设分级：重定向
水蛇,空天姬预设 隆卡的大水蛇？//预设分级：重定向
帆,空天姬预设 长吻帆蜥鱼//预设分级：重定向
老鼠,空天姬预设 沙里贝涅//预设分级：重定向
螺,空天姬预设 云海蝴蝶螺//预设分级：重定向
普海稀有,11//预设分级：非预设
醉鱼,平钓【磷虾】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨、扬沙、热浪、小雪、暴雪）》~11！@专一【加拉迪翁鳀鱼】双重=不撒饵、重随；=》鱼识@平钓@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨、扬沙、热浪、小雪、暴雪）》！！！@拍水~9+16.5！！【猎豹鳗、碧玉头、暗淡鲨】=【醉鱼】；引诱；//预设分级：合格的
小利维亚桑,大鱼【磷虾】@（碧空、晴朗、阴云、薄雾、小雨、暴雨、打雷、雷雨、扬沙、热浪、小雪、暴雪）》~9！！》~14！！=不撒饵、引诱；=》鱼识@平钓【刺螠】@（碧空、晴朗、阴云、薄雾、小雨、暴雨、打雷、雷雨、扬沙、热浪、小雪、暴雪）》10+16.5~16+28.6！！！@拍水【莫莫拉·莫拉】=【小利维亚桑】；引诱；//预设分级：合格的
海流星,大鱼【石沙蚕】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨、扬沙、热浪）》~13.5！@拍水【浮冰鱼】》~16.5！！=引诱、不撒饵；=》鱼识@平钓@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨、扬沙、热浪）》~16+28！！！精准@拍水~8+13.5！【海投刀】=【海流星】；引诱；//¤{storage:MissFisherGetTranslationByIndex( 预设备注海流星 , 0${pd:空天姬配置[界面语言]} )}//预设分级：合格的
海铠靴,平钓【刺螠】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨、扬沙、热浪、小雪、暴雪）》7.5~13.5！！@拍水【罗塔诺梭子鰆】@专一【深红钓鮟鱇】=引诱、不撒饵；=》鱼识@平钓【磷虾】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨、扬沙、热浪、小雪、暴雪）》7+12~10.5+19.5！！！@拍水6~11！！【罗塔诺梭子鰆、深海平鱼】=【海铠靴】；引诱；//预设分级：合格的
谢尔达莱结晶,平钓【石沙蚕】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨、扬沙、热浪、小雪、暴雪）》5.5~10！@专一【金属箱】双重=重随、不撒饵；=》鱼识@平钓【磷虾】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨、扬沙、热浪、小雪、暴雪）》8+15~13.5+25.5！！！@拍水~7+12！！【龟甲蟹】=【谢尔达莱结晶】；引诱；//预设分级：合格的
素面,平钓【石沙蚕】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨、扬沙、热浪、小雪、暴雪）》！！！@拍水6+10.5~！！【真鲹】=引诱、不撒饵；=》鱼识@平钓【磷虾】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨、扬沙、热浪、小雪、暴雪）》9.5~14.5！！！@拍水6+10.5~！！【真鲹】=【素面】；不撒饵、引诱；//预设分级：合格的
银杏鱼,平钓【石沙蚕】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨、扬沙、热浪、小雪、暴雪）》6.2~10.5！双重@拍水~6.1！【暗鸦鲀】=3【罗斯利特海带】；不撒饵、多提；=》鱼识@平钓@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨、扬沙、热浪、小雪、暴雪）》6+11~10.5+18！！！精准@拍水！【罗斯利特海带】=【银杏鱼】；引诱；//预设分级：合格的
幽暗鲨,平钓【石沙蚕】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨）》9+17~15.5+29！@拍水~4+7！【妖歌贻贝】@专一【诗人的笛子】=引诱；=》鱼识@平钓【刺螠】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨）》7+12~13+23！！！@拍水6+10~10.5+18！！【箭头乌贼】=【幽暗鲨】；引诱；//预设分级：合格的
水引鱼,大鱼【石沙蚕】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨）》5~9！@拍水【漩涡螺】》6.5~12！！！双提=2【鼠鲨】；重随、多提、不撒饵；=》鱼识@平钓@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨）》8+15~14+26！！！精准@拍水！【漩涡螺、斑纹虾】=【水引鱼】；引诱；//预设分级：合格的
天之虎,平钓【石沙蚕】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨）》4~7！@专一【深红巨藻】双提=3【深红巨藻】；不撒饵、引诱；=》鱼识@平钓【磷虾】@（碧空、晴朗、阴云、薄雾、微风、强风、小雨、暴雨、打雷、雷雨）》9+16~！！！@拍水6+10~10+18！！【暗礁乌贼】=【天之虎】；引诱；//预设分级：合格的
